,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
"Zay Flowers Z. Flowers(WR, BAL)",99.22,"77.92 - 120.52",#123,#47,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,59.55,93.59,718.06,4.69
"Michael Gallup M. Gallup(WR, DAL)",99.19,"77.89 - 120.49",#124,#48,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,55.56,99.28,659.33,5.51
"Marquez Valdes-Scantling M. Valdes-Scantling(WR, KC)",99.16,"77.87 - 120.45",#125,#49,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,44.35,83.79,708.14,4.75
"Rondale Moore R. Moore(WR, ARI)",99.10,"77.81 - 120.39",#126,#50,"0.00 / 0.00",0.00,0.00,0.00,4.58,26.93,0.18,72.88,109.69,776.08,3.22
"Dallas Goedert D. Goedert(TE, PHI)",98.82,"77.56 - 120.08",#127,#6,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,63.66,92.92,724.46,4.50
"Kadarius Toney K. Toney(WR, KC)",98.26,"77.05 - 119.47",#128,#51,"0.00 / 0.00",0.00,0.00,0.00,8.37,48.26,0.57,55.25,83.79,631.49,4.59
"Rashaad Penny R. Penny(RB, PHI)",97.88,"76.38 - 119.38",#129,#40,"0.00 / 0.00",0.00,0.00,0.00,140.53,670.29,4.35,5.77,7.97,39.92,0.18
"Darren Waller D. Waller(TE, NYG)",97.03,"75.92 - 118.14",#130,#7,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,67.24,100.13,727.98,4.10
"Kenneth Gainwell K. Gainwell(RB, PHI)",96.80,"75.39 - 118.21",#131,#41,"0.00 / 0.00",0.00,0.00,0.00,106.07,475.98,4.06,28.35,39.81,196.88,1.10
"Tyler Allgeier T. Allgeier(RB, ATL)",94.38,"73.15 - 115.61",#132,#42,"0.00 / 0.00",0.00,0.00,0.00,128.34,592.64,3.67,13.67,19.38,91.17,0.64
"Raheem Mostert R. Mostert(RB, MIA)",93.83,"72.65 - 115.01",#133,#43,"0.00 / 0.00",0.00,0.00,0.00,113.35,525.17,3.52,21.29,29.79,150.75,0.94
"Allen Lazard A. Lazard(WR, NYJ)",93.69,"72.87 - 114.51",#134,#52,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,53.70,84.44,651.61,4.75
"Nico Collins N. Collins(WR, HOU)",91.84,"71.17 - 112.51",#135,#53,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,57.84,95.94,686.25,3.92
"D.J. Chark D. Chark(WR, CAR)",91.63,"70.98 - 112.28",#136,#54,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,49.55,87.55,680.48,3.94
"Skyy Moore S. Moore(WR, KC)",91.42,"70.79 - 112.05",#137,#55,"0.00 / 0.00",0.00,0.00,0.00,8.37,48.08,0.55,50.99,80.57,599.37,4.21
"Pat Freiermuth P. Freiermuth(TE, PIT)",91.39,"70.76 - 112.02",#138,#8,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,64.46,97.87,657.89,4.31
"Evan Engram E. Engram(TE, JAC)",91.16,"70.55 - 111.77",#139,#9,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,61.34,92.34,650.10,4.44
"Elijah Moore E. Moore(WR, CLE)",90.59,"70.03 - 111.15",#140,#56,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,54.26,87.03,685.57,3.75
"Zay Jones Z. Jones(WR, JAC)",89.21,"68.77 - 109.65",#141,#57,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,60.26,95.31,647.42,4.13
"Jakobi Meyers J. Meyers(WR, LV)",88.04,"67.7 - 108.38",#142,#58,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,64.35,100.87,691.25,3.33
"Ezekiel Elliott E. Elliott(RB, NE)",87.66,"66.98 - 108.34",#143,#44,"0.00 / 0.00",0.00,0.00,0.00,115.68,479.52,5.17,10.18,14.08,60.93,0.38
"Rashod Bateman R. Bateman(WR, BAL)",87.47,"67.18 - 107.76",#144,#59,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,48.20,78.80,647.49,3.87
"Jameson Williams J. Williams(WR, DET)",86.53,"65.59 - 107.47",#145,#60,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,41.92,70.32,627.45,4.04
"Odell Beckham O. Beckham(WR, BAL)",85.76,"65.61 - 105.91",#146,#61,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,45.97,78.80,585.76,4.60
"Chase Edmonds C. Edmonds(RB, TB)",85.34,"64.83 - 105.85",#147,#45,"0.00 / 0.00",0.00,0.00,0.00,110.01,485.19,2.89,20.09,29.72,151.06,0.87
"Jaylen Warren J. Warren(RB, PIT)",84.66,"64.2 - 105.12",#148,#46,"0.00 / 0.00",0.00,0.00,0.00,112.27,510.16,2.98,17.60,24.49,125.04,0.70
"Tyler Boyd T. Boyd(WR, CIN)",84.50,"64.46 - 104.54",#149,#62,"0.00 / 0.00",0.00,0.00,0.00,4.21,24.07,0.20,52.29,79.31,597.94,3.58
"Greg Dulcich G. Dulcich(TE, DEN)",83.15,"63.22 - 103.08",#150,#10,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,52.54,80.17,556.40,4.60
"Tank Bigsby T. Bigsby(RB, JAC)",82.98,"62.66 - 103.3",#151,#47,"0.00 / 0.00",0.00,0.00,0.00,89.74,404.73,2.88,26.37,35.73,185.06,1.25
"DeVante Parker D. Parker(WR, NE)",82.57,"62.7 - 102.44",#152,#63,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,47.09,81.57,635.05,3.20
"Marvin Mims M. Mims(WR, DEN)",80.55,"60.84 - 100.26",#153,#64,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,48.31,79.66,581.41,3.90
"Jayden Reed J. Reed(WR, GB)",80.08,"60.42 - 99.74",#154,#65,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,49.41,82.56,600.88,3.49
"Chigoziem Okonkwo C. Okonkwo(TE, TEN)",80.07,"60.41 - 99.73",#155,#11,"0.00 / 0.00",0.00,0.00,0.00,5.01,25.87,0.30,46.64,70.05,553.94,3.36
"David Njoku D. Njoku(TE, CLE)",80.03,"60.38 - 99.68",#156,#12,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,51.94,79.55,573.07,3.81
"Devin Singletary D. Singletary(RB, HOU)",79.84,"59.77 - 99.91",#157,#48,"0.00 / 0.00",0.00,0.00,0.00,117.58,540.57,2.35,15.61,21.30,97.39,0.66
"Darnell Mooney D. Mooney(WR, CHI)",79.40,"59.8 - 99",#158,#66,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,47.81,80.83,568.98,3.79
"Curtis Samuel C. Samuel(WR, WSH)",79.00,"59.43 - 98.57",#159,#67,"0.00 / 0.00",0.00,0.00,0.00,17.58,102.43,0.95,46.51,72.99,464.52,2.87
"Romeo Doubs R. Doubs(WR, GB)",78.93,"59.37 - 98.49",#160,#68,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,50.80,85.43,581.28,3.64
"Taysom Hill T. Hill(TE, NO)",78.92,"59.26 - 98.58",#161,#13,"2.13 / 5.34",19.22,0.00,0.00,40.43,178.53,3.37,30.37,45.39,310.06,1.69
"Jerick McKinnon J. McKinnon(RB, KC)",78.37,"58.42 - 98.32",#162,#49,"0.00 / 0.00",0.00,0.00,0.00,52.29,219.12,1.62,41.67,54.79,321.28,2.56
"Damien Harris D. Harris(RB, BUF)",78.27,"58.32 - 98.22",#163,#50,"0.00 / 0.00",0.00,0.00,0.00,104.94,478.37,3.61,8.79,12.20,61.30,0.46
"Jonathan Mingo J. Mingo(WR, CAR)",78.09,"58.6 - 97.58",#164,#69,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,46.59,76.58,569.76,3.63
"Zamir White Z. White(RB, LV)",77.23,"57.37 - 97.09",#165,#51,"0.00 / 0.00",0.00,0.00,0.00,102.62,436.97,3.20,16.51,23.06,112.95,0.74
"Donovan Peoples-Jones D. Peoples-Jones(WR, CLE)",77.15,"57.74 - 96.56",#166,#70,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,43.86,69.62,608.57,2.85
"Adam Thielen A. Thielen(WR, CAR)",76.76,"57.38 - 96.14",#167,#71,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,52.78,82.08,544.25,3.75
"Van Jefferson V. Jefferson(WR, LA)",76.44,"57.09 - 95.79",#168,#72,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,42.60,72.72,598.89,2.83
"D'Onta Foreman D. Foreman(RB, CHI)",76.01,"56.24 - 95.78",#169,#52,"0.00 / 0.00",0.00,0.00,0.00,116.76,517.10,3.10,5.81,8.09,43.14,0.34
"Juwan Johnson J. Johnson(TE, NO)",74.77,"55.56 - 93.98",#170,#14,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,46.35,71.15,517.58,3.82
"Khalil Shakir K. Shakir(WR, BUF)",74.45,"55.27 - 93.63",#171,#73,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,44.67,76.33,539.40,3.53
"Dalton Schultz D. Schultz(TE, HOU)",74.40,"55.22 - 93.58",#172,#15,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,54.73,79.91,521.66,3.76
"Gerald Everett G. Everett(TE, LAC)",73.98,"54.84 - 93.12",#173,#16,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,50.82,75.74,526.22,3.62
"Greg Dortch G. Dortch(WR, ARI)",73.75,"54.63 - 92.87",#174,#74,"0.00 / 0.00",0.00,0.00,0.00,4.58,27.40,0.18,51.19,77.96,574.83,2.30
"Tyler Higbee T. Higbee(TE, LA)",73.49,"54.39 - 92.59",#175,#17,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,55.62,80.81,525.70,3.49
"Jeff Wilson J. Wilson(RB, MIA)",73.37,"53.81 - 92.93",#176,#53,"0.00 / 0.00",0.00,0.00,0.00,104.78,469.04,3.60,6.13,8.94,45.14,0.33
"Hunter Henry H. Henry(TE, NE)",72.47,"53.46 - 91.48",#177,#18,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,45.96,70.34,512.43,3.56
"Jalin Hyatt J. Hyatt(WR, NYG)",72.34,"53.34 - 91.34",#178,#75,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,47.18,75.76,547.43,3.02
"Dalton Kincaid D. Kincaid(TE, BUF)",71.84,"52.88 - 90.8",#179,#19,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,42.36,64.11,474.36,4.07
"Irv Smith Jr. I. Smith Jr.(TE, CIN)",71.57,"52.63 - 90.51",#180,#20,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,52.04,76.14,468.60,4.21
"Corey Davis C. Davis(WR, NYJ)",69.98,"51.18 - 88.78",#181,#76,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,40.94,67.56,520.26,3.10
"Chuba Hubbard C. Hubbard(RB, CAR)",69.77,"50.5 - 89.04",#182,#54,"0.00 / 0.00",0.00,0.00,0.00,97.36,425.96,3.11,10.02,13.67,72.70,0.45
"Sam LaPorta S. LaPorta(TE, DET)",69.25,"50.51 - 87.99",#183,#21,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,41.12,63.15,463.21,3.84
"Hunter Renfrow H. Renfrow(WR, LV)",69.04,"50.32 - 87.76",#184,#77,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,55.79,80.68,533.21,3.08
"Dawson Knox D. Knox(TE, BUF)",68.47,"49.8 - 87.14",#185,#22,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,40.98,64.11,446.78,4.00
"Cole Kmet C. Kmet(TE, CHI)",67.52,"48.93 - 86.11",#186,#23,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,43.09,64.68,437.43,4.00
"Robert Woods R. Woods(WR, HOU)",67.13,"48.58 - 85.68",#187,#78,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,47.25,74.60,505.51,2.82
"Alec Pierce A. Pierce(WR, IND)",66.98,"48.44 - 85.52",#188,#79,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,40.90,70.59,521.36,2.58
"Cordarrelle Patterson C. Patterson(RB, ATL)",66.04,"47.06 - 85.02",#189,#55,"0.00 / 0.00",0.00,0.00,0.00,53.45,255.36,2.11,26.41,38.74,198.50,1.37
"Rashid Shaheed R. Shaheed(WR, NO)",65.91,"47.46 - 84.36",#190,#80,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,38.71,62.98,511.10,2.59
"Malik Davis M. Davis(RB, DAL)",65.69,"46.74 - 84.64",#191,#56,"0.00 / 0.00",0.00,0.00,0.00,95.79,406.06,2.76,8.55,11.33,62.83,0.52
"Russell Gage R. Gage(WR, TB)",65.45,"47.04 - 83.86",#192,#81,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,45.56,74.30,495.94,2.75
"Mack Hollins M. Hollins(WR, ATL)",63.37,"45.14 - 81.6",#193,#82,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,40.03,70.24,460.60,2.94
"Darius Slayton D. Slayton(WR, NYG)",63.28,"45.05 - 81.51",#194,#83,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,37.03,62.25,476.29,2.72
"Roschon Johnson R. Johnson(RB, CHI)",63.16,"44.41 - 81.91",#195,#57,"0.00 / 0.00",0.00,0.00,0.00,96.35,410.62,2.34,8.85,12.13,61.43,0.50
"Chase Claypool C. Claypool(WR, CHI)",62.93,"44.73 - 81.13",#196,#84,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,34.27,58.65,441.16,3.20
"Zach Ertz Z. Ertz(TE, ARI)",62.25,"44.11 - 80.39",#197,#24,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,48.04,75.05,474.70,2.43
"Mecole Hardman M. Hardman(WR, NYJ)",62.03,"43.91 - 80.15",#198,#85,"0.00 / 0.00",0.00,0.00,0.00,4.81,27.87,0.23,34.75,53.48,413.73,2.98
"Mike Gesicki M. Gesicki(TE, NE)",61.70,"43.61 - 79.79",#199,#25,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,42.46,70.34,437.56,3.01
"Chosen Anderson C. Anderson(WR, MIA)",61.51,"43.43 - 79.59",#200,#86,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,41.85,74.46,436.74,3.05
"Ty Chandler T. Chandler(RB, MIN)",61.48,"42.87 - 80.09",#201,#58,"0.00 / 0.00",0.00,0.00,0.00,83.44,355.09,2.22,13.94,18.91,92.77,0.73
"Hayden Hurst H. Hurst(TE, CAR)",60.98,"42.95 - 79.01",#202,#26,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,49.03,71.09,404.29,3.52
"Kendrick Bourne K. Bourne(WR, NE)",60.64,"42.64 - 78.64",#203,#87,"0.00 / 0.00",0.00,0.00,0.00,4.44,25.45,0.21,35.02,53.45,447.51,2.10
"Josh Reynolds J. Reynolds(WR, DET)",60.57,"42.47 - 78.67",#204,#88,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,32.86,57.88,428.25,3.01
"K.J. Osborn K. Osborn(WR, MIN)",60.25,"42.29 - 78.21",#205,#89,"0.00 / 0.00",0.00,0.00,0.00,4.17,23.55,0.23,36.78,59.89,401.29,2.86
"Marvin Jones M. Jones(WR, DET)",59.47,"41.48 - 77.46",#206,#90,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,31.46,52.77,388.21,3.43
"Gus Edwards G. Edwards(RB, BAL)",58.92,"40.51 - 77.33",#207,#59,"0.00 / 0.00",0.00,0.00,0.00,108.14,525.48,0.34,5.33,7.39,38.54,0.31
"Luke Musgrave L. Musgrave(TE, GB)",57.85,"40.08 - 75.62",#208,#27,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,37.64,56.95,400.28,2.96
"Logan Thomas L. Thomas(TE, WSH)",57.43,"39.7 - 75.16",#209,#28,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,45.60,70.28,390.05,3.11
"Cade Otton C. Otton(TE, TB)",56.56,"38.9 - 74.22",#210,#29,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,39.86,65.36,401.71,2.72
"Tyjae Spears T. Spears(RB, TEN)",55.57,"37.43 - 73.71",#211,#60,"0.00 / 0.00",0.00,0.00,0.00,75.74,321.36,1.53,14.82,20.01,111.03,0.73
"Laviska Shenault L. Shenault(WR, CAR)",55.31,"37.77 - 72.85",#212,#91,"0.00 / 0.00",0.00,0.00,0.00,27.81,158.72,1.73,21.56,32.84,217.02,1.25
"Michael Mayer M. Mayer(TE, LV)",55.06,"37.53 - 72.59",#213,#30,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,41.26,63.40,390.11,2.70
"John Metchie III J. Metchie(WR, HOU)",53.41,"36.03 - 70.79",#214,#92,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,35.56,58.61,404.12,2.30
"Noah Fant N. Fant(TE, SEA)",52.42,"35.12 - 69.72",#215,#31,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,41.48,58.22,387.44,2.26
"Kyren Williams K. Williams(RB, LA)",51.47,"33.65 - 69.29",#216,#61,"0.00 / 0.00",0.00,0.00,0.00,75.87,341.53,1.64,7.88,10.76,58.75,0.34
"Samori Toure S. Toure(WR, GB)",51.11,"33.93 - 68.29",#217,#93,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,30.88,51.24,394.51,2.13
"Allen Robinson A. Robinson(WR, PIT)",51.02,"33.84 - 68.2",#218,#94,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,33.03,54.38,376.01,2.21
"Colt McCoy C. McCoy(QB, ARI)",49.99,"27.77 - 72.21",#219,#33,"91.01 / 135.43",894.20,3.92,3.83,13.41,57.24,0.43,0.00,0.00,0.00,0.00
"Ben Skowronek B. Skowronek(WR, LA)",49.62,"32.57 - 66.67",#220,#95,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,32.69,53.83,379.75,1.99
"Wan'Dale Robinson W. Robinson(WR, NYG)",49.01,"32.01 - 66.01",#221,#96,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,33.95,54.12,371.15,2.14
"Isaiah McKenzie I. McKenzie(WR, IND)",48.33,"31.38 - 65.28",#222,#97,"0.00 / 0.00",0.00,0.00,0.00,5.51,30.49,0.18,33.63,53.51,338.72,2.05
"Tyler Conklin T. Conklin(TE, NYJ)",48.09,"31.16 - 65.02",#223,#32,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,36.39,53.48,321.22,2.77
"Keaontay Ingram K. Ingram(RB, ARI)",47.12,"29.65 - 64.59",#224,#62,"0.00 / 0.00",0.00,0.00,0.00,66.47,277.42,1.17,13.17,17.34,101.93,0.46
"Zach Charbonnet Z. Charbonnet(RB, SEA)",46.94,"29.48 - 64.4",#225,#63,"0.00 / 0.00",0.00,0.00,0.00,66.01,297.65,1.34,11.03,14.55,73.01,0.39
"Cedrick Wilson C. Wilson(WR, MIA)",46.63,"29.82 - 63.44",#226,#98,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,29.72,47.66,346.47,2.10
"Kendre Miller K. Miller(RB, NO)",46.62,"29.09 - 64.15",#227,#64,"0.00 / 0.00",0.00,0.00,0.00,71.01,300.45,1.25,10.00,13.75,71.91,0.43
"Isaiah Hodgins I. Hodgins(WR, NYG)",46.39,"29.61 - 63.17",#228,#99,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,31.21,48.71,335.85,2.21
"Jelani Woods J. Woods(TE, IND)",46.25,"29.47 - 63.03",#229,#33,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,33.24,51.11,339.05,2.10
"Jake Ferguson J. Ferguson(TE, DAL)",45.44,"28.73 - 62.15",#230,#34,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,29.66,42.55,290.18,2.75
"Josiah Deguara J. Deguara(TE, GB)",45.29,"28.6 - 61.98",#231,#35,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,30.81,45.55,310.59,2.40
"Isaiah Spiller I. Spiller(RB, LAC)",44.54,"27.27 - 61.81",#232,#65,"0.00 / 0.00",0.00,0.00,0.00,55.68,248.91,1.03,14.01,18.94,103.04,0.57
"Josh Downs J. Downs(WR, IND)",43.45,"26.92 - 59.98",#233,#100,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,28.66,48.65,337.48,1.72
"Noah Brown N. Brown(WR, HOU)",42.75,"26.27 - 59.23",#234,#101,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,28.59,47.95,324.09,1.79
"Joshua Kelley J. Kelley(RB, LAC)",42.43,"25.33 - 59.53",#235,#66,"0.00 / 0.00",0.00,0.00,0.00,77.07,312.06,1.18,4.75,6.33,35.38,0.17
"Nick Westbrook-Ikhine N. Westbrook-Ikhine(WR, TEN)",40.41,"24.14 - 56.68",#236,#102,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,23.54,40.02,310.54,1.61
"Tyquan Thornton T. Thornton(WR, NE)",39.39,"23.2 - 55.58",#237,#103,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,25.95,45.00,296.19,1.70
"Chase Brown C. Brown(RB, CIN)",38.29,"21.52 - 55.06",#238,#67,"0.00 / 0.00",0.00,0.00,0.00,48.40,204.13,1.10,11.84,15.85,80.61,0.62
"Parris Campbell P. Campbell(WR, NYG)",37.95,"21.89 - 54.01",#239,#104,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,27.40,43.28,288.12,1.65
"Jerome Ford J. Ford(RB, CLE)",36.79,"20.14 - 53.44",#240,#68,"0.00 / 0.00",0.00,0.00,0.00,53.93,225.39,0.89,9.46,12.46,70.37,0.43
"Terrace Marshall Jr. T. Marshall(WR, CAR)",36.64,"20.68 - 52.6",#241,#105,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,23.03,38.29,281.77,1.48
"Matt Breida M. Breida(RB, NYG)",35.43,"18.89 - 51.97",#242,#69,"0.00 / 0.00",0.00,0.00,0.00,48.75,226.57,1.39,6.01,8.12,44.33,0.21
"Trey McBride T. McBride(TE, ARI)",35.02,"19.21 - 50.83",#243,#36,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,26.12,37.51,274.02,1.31
"Austin Hooper A. Hooper(TE, LV)",34.81,"19.02 - 50.6",#244,#37,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,26.34,40.35,244.08,1.73
"Tutu Atwell T. Atwell(WR, LA)",34.76,"18.97 - 50.55",#245,#106,"0.00 / 0.00",0.00,0.00,0.00,9.19,54.15,0.43,16.08,26.96,209.96,1.02
"Clyde Edwards-Helaire C. Edwards-Helaire(RB, KC)",34.66,"18.18 - 51.14",#246,#70,"0.00 / 0.00",0.00,0.00,0.00,41.84,180.85,1.42,7.36,9.68,56.01,0.49
"Dyami Brown D. Brown(WR, WSH)",34.35,"18.59 - 50.11",#247,#107,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,21.94,37.83,260.01,1.45
"Josh Palmer J. Palmer(WR, LAC)",33.60,"17.91 - 49.29",#248,#108,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,20.14,31.57,259.02,1.32
"Jonathan Williams J. Williams(RB, WSH)",33.42,"17.03 - 49.81",#249,#71,"0.00 / 0.00",0.00,0.00,0.00,50.24,212.77,1.24,5.99,8.11,40.36,0.29
"D'Wayne Eskridge D. Eskridge(WR, SEA)",33.11,"17.45 - 48.77",#250,#109,"0.00 / 0.00",0.00,0.00,0.00,4.41,26.08,0.19,21.74,34.92,229.67,1.16
